Date_Year_regrowth,Percent_Hard_Coral_Cover,Date_Year_bleaching,Percent_Bleaching
2007,47.3,2002,75
2013,29.7,2002,75
2013,37,2002,75
2013,52.3,2002,75
2013,26.2,2002,75
2017,38.5,2002,75
2017,18.5,2002,75
2017,38.8,2002,75
2017,50,2002,75
2015,56.8,2002,75
2015,40.4,2002,75
2015,49.4,2002,75
2015,65.2,2002,75
1997,28.2,2002,75
1998,44.1,2002,75
1999,32.4,2002,75
2000,25.3,2002,75
2001,50.7,2002,75
2002,11.6,2002,75
2005,32,2002,75
2006,42.7,2002,75
2007,36.8,2002,75
2008,41.5,2002,75
2010,30.4,2002,75
2005,46.4,2002,75
2006,38.2,2002,75
2007,40,2002,75
2008,36.7,2002,75
2009,39.6,2002,75
2010,45.4,2002,75
2011,40.2,2002,75
2015,46.7,2002,75
2016,41.5,2002,75
2017,49,2002,75
2007,50.9,2002,75
2010,51.2,2002,75
2012,57,2002,75
2013,65,2002,75
2014,66,2002,75
2015,54.7,2002,75
2016,58.9,2002,75
1980,39.6,2002,75
1986,43.5,2002,75
1998,54.2,2002,75
2013,39.4,2002,75
1980,51.7,2002,75
1986,42.1,2002,75
1998,38.3,2002,75
2013,54.3,2002,75
1980,35.9,2002,75
1986,41.7,2002,75
1998,50,2002,75
2013,44.7,2002,75
1980,53.4,2002,75
1986,29.6,2002,75
1998,48.6,2002,75
2013,46,2002,75
1998,44.8,1998,75
2013,41.6,1998,75
1980,52.3,1998,75
1986,50.5,1998,75
1998,56.6,1998,75
2013,56.6,1998,75
2001,42.1,1998,75
1997,71.8,1998,75
1999,43.6,1998,75
1994,42.1,1998,75
1999,25.46,1998,75
1997,32.38,1998,75
2001,29.7,1998,75
1997,25.24,1998,75
2000,21.66,1998,75
1994,20.32,1998,75
2002,9.16,1998,75
1996,11.84,1998,75
1994,7.59,1998,75
2001,14.31,1998,75
1993,11.17,1998,75
1997,6.48,1998,75
1999,11.53,1998,75
2000,5.83,1998,75
