Latitude_Degrees_regrowth,Longitude_Degrees_regrowth,Habitat_Type_regrowth,Turbidity_regrowth,Unnamed: 4,Date_Year_regrowth,Percent_Hard_Coral_Cover_regrowth,Percent_Macroalgal_Cover_regrowth,ClimSST_regrowth,Temperature_Mean_regrowth,Temperature_Minimum_regrowth,Wispeed_regrowth,SSTA_regrowth,SSTA_DHW_regrowth,Latitude_Degrees_bleaching,Longitude_Degrees_bleaching,Turbidity_bleaching,Percent_Cover_bleaching,Date_Year_bleaching,Bleaching_Level,Percent_Bleaching,ClimSST_bleaching,Temperature_Kelvin_bleaching,Wispeed_bleaching,SSTA_bleaching,SSTA_DHW_bleaching,Regrowth_Rate,Resilience_Status
-19.19805556,146.815,Outer Reef Flat,0.22,,2013,15.22,0.0,,,,,,,17.711,-64.652,0.0449,,2005,,85.7,262.15,301.56,9.0,0.19,7.15,-5.816831683168311,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2014,,,,,,,,,20.1004,-87.4638,0.0366,,2004,,85.71,300.81,302.01,4.0,0.46,0.0,0.0,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2016,15.85,0.0,,,,,,,20.0995,-87.4625,0.0366,,2005,,85.71,299.49,299.82,5.0,-0.23,0.0,4.139290407358742,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2017,,,,,,,,,18.6806,-87.7113,0.0286,,2006,,85.71,262.15,299.48,6.0,-0.25,0.0,0.0,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2018,14.27,0.0,,,,,,,18.318,-64.991,0.043,,2005,,85.9,301.84,303.33,4.0,1.48,12.32,-9.968454258675074,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2006,,,,,,,,,18.317,-64.993,0.043,,2005,,86.0,301.83,303.41,4.0,1.54,10.98,0.0,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2007,16.79,0.0,,,,,,,18.279,-65.288,0.049,,2005,,86.0,301.84,303.35,4.0,1.53,11.18,17.659425367904703,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2008,,,,,,,,,11.282,-60.698,0.0812,,2005,,86.7,262.15,303.58,6.0,1.65,8.66,0.0,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2009,15.22,0.0,,,,,,,18.279,-64.898,0.0348,,2005,,86.7,301.82,304.35,4.0,2.53,12.35,-9.35080405002977,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2012,,,,,,,,,17.793,-64.61,0.0396,,2005,,86.8,301.18,302.12,6.0,0.28,9.31,0.0,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2013,16.48,0.0,,,,,,,-17.5,147.0,0.0283,,1998,,87.0,301.56,300.95,3.0,-1.04,2.35,8.278580814717484,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2014,,,,,,,,,18.66,-87.709,0.028,,2005,,87.0,262.15,299.42,7.0,-1.84,3.75,0.0,Non-Resilient
-19.19805556,146.815,Outer Reef Flat,0.22,,2015,18.06,0.0,,,,,,,17.637,-64.862,0.0466,,2005,,87.0,301.3,302.0,6.0,0.06,8.92,9.587378640776677,Non-Resilient
